cik	formtype	companyname	filingdate	url
1018074	10-K	CARRIER ACCESS	2000-03-30	https://www.sec.gov/Archives/edgar/data/1018074/0000927356-00-000645.txt
1018797	10-K405	INTERNATIONAL MANUFACTURING SERVICES	1998-07-31	https://www.sec.gov/Archives/edgar/data/1018797/0000891618-98-003560.txt
1018963	10-K	ALLEGHENY TELEDYNE	1997-03-27	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-97-000664.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2014-02-27	https://www.sec.gov/Archives/edgar/data/1018963/0001445305-14-000663.txt
1018963	10-K405	ALLEGHENY TECHNOLOGIES	2001-03-14	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-01-000485.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2007-02-27	https://www.sec.gov/Archives/edgar/data/1018963/0000950152-07-001549.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2015-02-26	https://www.sec.gov/Archives/edgar/data/1018963/0001018963-15-000005.txt
1018963	10-K405	ALLEGHENY TELEDYNE	1998-03-23	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-98-000653.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2006-03-01	https://www.sec.gov/Archives/edgar/data/1018963/0000950152-06-001573.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2003-03-24	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-03-000412.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2008-02-26	https://www.sec.gov/Archives/edgar/data/1018963/0000950152-08-001416.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2013-02-28	https://www.sec.gov/Archives/edgar/data/1018963/0001193125-13-084310.txt
1018963	10-K405	ALLEGHENY TECHNOLOGIES	2002-03-15	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-02-000271.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2011-02-28	https://www.sec.gov/Archives/edgar/data/1018963/0000950123-11-019865.txt
1018963	10-K405	ALLEGHENY TECHNOLOGIES	2000-03-21	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-00-000549.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2012-02-27	https://www.sec.gov/Archives/edgar/data/1018963/0001193125-12-081765.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2005-02-28	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-05-000057.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2016-02-26	https://www.sec.gov/Archives/edgar/data/1018963/0001018963-16-000049.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2004-03-15	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-04-000283.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2010-02-25	https://www.sec.gov/Archives/edgar/data/1018963/0000950123-10-017084.txt
1018963	10-K405	ALLEGHENY TELEDYNE	1999-03-19	https://www.sec.gov/Archives/edgar/data/1018963/0000950128-99-000587.txt
1018963	10-K	ALLEGHENY TECHNOLOGIES	2009-02-23	https://www.sec.gov/Archives/edgar/data/1018963/0000950152-09-001663.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	1998-12-23	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-98-000015.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	1999-12-29	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-99-000007.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	1996-12-30	https://www.sec.gov/Archives/edgar/data/1019361/0000947871-96-000175.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2011-11-29	https://www.sec.gov/Archives/edgar/data/1019361/0001157523-11-006991.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2007-11-29	https://www.sec.gov/Archives/edgar/data/1019361/0000930413-07-009063.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2010-11-30	https://www.sec.gov/Archives/edgar/data/1019361/0000930413-10-005871.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2004-12-14	https://www.sec.gov/Archives/edgar/data/1019361/0000947871-04-002692.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2001-12-21	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-01-500007.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2013-11-29	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-13-000048.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2002-12-20	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-02-000006.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	1997-12-29	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-97-000015.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2008-12-01	https://www.sec.gov/Archives/edgar/data/1019361/0000930413-08-006983.txt
