cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
76605	1996	0000914760-97-000062.txt	10-K	PATRICK INDUSTRIES	1997-03-26	https://www.sec.gov/Archives/edgar/data/76605/0000914760-97-000062.txt	8386	PATRICK INDUSTRIES INC	703343103	PATK	12	13514	3089	106.606	15.125	5.964
1010471	1996	0000950134-97-002313.txt	10-K	WYNDHAM HOTEL	1997-03-27	https://www.sec.gov/Archives/edgar/data/1010471/0000950134-97-002313.txt	62909	WYNDHAM HOTEL CORP	983100108	WYN.1	12	13514	7011	242.962	24.625	20.018
745308	1996	0000950144-97-003249.txt	10-K405	ST JOE PAPER	1997-03-31	https://www.sec.gov/Archives/edgar/data/745308/0000950144-97-003249.txt	12544	ST JOE CO	790148100	JOE	12	13514	4011	1806.238	64.99996948	30.499
90168	1996	0000950152-96-006710.txt	10-K	SIFCO INDUSTRIES	1996-12-20	https://www.sec.gov/Archives/edgar/data/90168/0000950152-96-006710.txt	9698	SIFCO INDUSTRIES	826546103	SIF	9	13422	3724	67.97	10	5.127
1005868	1996	0001005868-97-000002.txt	10-K	THERMOQUEST CORP	1997-02-27	https://www.sec.gov/Archives/edgar/data/1005868/0001005868-97-000002.txt	62433	THERMOQUEST CORP	883655102	TMQ	12	13514	3826	535.07	12.875	48.45
723385	1996	0000916641-97-000277.txt	10-K	MEDCO RESEARCH	1997-03-28	https://www.sec.gov/Archives/edgar/data/723385/0000916641-97-000277.txt	7196	MEDCO RESEARCH INC	584059109	MRE	12	13514	2834	42.628	10.5	10.74
916844	1996	0000950170-97-000355.txt	10-K405	PAN AM CORP	1997-03-31	https://www.sec.gov/Archives/edgar/data/916844/0000950170-97-000355.txt	63624	PAN AM CORP/FL	697758100	PAA.1	12	13514	4512	26.545	7.56199932	10.92
1007084	1996	0000890566-97-000521.txt	10-K	YORK GROUP INC	1997-03-26	https://www.sec.gov/Archives/edgar/data/1007084/0000890566-97-000521.txt	62564	YORK GROUP INC	986632107	YRKG	12	13514	3990	99.935	19.5	8
96879	1996	0000096879-96-000020.txt	10-K	TEKTRONIX	1996-08-22	https://www.sec.gov/Archives/edgar/data/96879/0000096879-96-000020.txt	10391	TEKTRONIX INC	879131100	TEK.1	5	13665	3825	1316.741	57.37497711	33.402
815910	1996	0000815910-97-000008.txt	10-K405	METROLOGIC INSTRUMENTS	1997-03-31	https://www.sec.gov/Archives/edgar/data/815910/0000815910-97-000008.txt	30718	METROLOGIC INSTRUMENTS INC	591676101	MTLG	12	13514	3577	35.992	16.25	5.274
916540	1996	0000916540-97-000004.txt	10-K	DARLING INTERNATIONAL	1997-03-27	https://www.sec.gov/Archives/edgar/data/916540/0000916540-97-000004.txt	30651	DARLING INGREDIENTS INC	237266101	DAR	12	13514	2070	329.645	29.49999619	5.152
352541	1996	0000897069-97-000126.txt	10-K405	WPL HOLDINGS	1997-03-19	https://www.sec.gov/Archives/edgar/data/352541/0000897069-97-000126.txt	11554	ALLIANT ENERGY CORP	018802108	LNT	12	13514	4931	1900.531	28.125	30.774
931058	1996	0000950135-97-001278.txt	10-K405	LIN TELEVISION	1997-03-21	https://www.sec.gov/Archives/edgar/data/931058/0000950135-97-001278.txt	31272	LIN TELEVISION CORP	532776101	LNTV	12	13514	4833	595.944	42.25	29.717
878736	1996	0000950152-97-002145.txt	10-K405	HEALTH CARE & RETIREMENT CORP /	1997-03-25	https://www.sec.gov/Archives/edgar/data/878736/0000950152-97-002145.txt	24607	MANOR CARE INC	564055101	HCR	12	13514	8051	802.784	28.625	44.861
109198	1996	0000950135-96-001819.txt	10-K405	TJX COMPANIES INC	1996-04-26	https://www.sec.gov/Archives/edgar/data/109198/0000950135-96-001819.txt	11672	TJX COMPANIES INC	872540109	TJX	1	13545	5651	2561.212	39.75	79.576
912899	1996	0000950129-97-001388.txt	10-K	UTI ENERGY	1997-03-31	https://www.sec.gov/Archives/edgar/data/912899/0000950129-97-001388.txt	29347	UTI ENERGY CORP	903387108	UTI.1	12	13514	1381	61.87	35.37499523	3.602
894232	1996	0000890566-97-000679.txt	10-K405	DRYPERS	1997-03-31	https://www.sec.gov/Archives/edgar/data/894232/0000890566-97-000679.txt	29878	DRYPERS CORP	262497308	3DYPR	12	13514	2670	150.555	3.75	7.179
1019695	1996	0000950135-97-001446.txt	10-K	ARQULE	1997-03-31	https://www.sec.gov/Archives/edgar/data/1019695/0000950135-97-001446.txt	63789	ARQULE INC	04269E107	ARQL	12	13514	2835	43.509	15.75	9.851
771790	1996	0000771790-96-000018.txt	10-K	STEEL TECHNOLOGIES	1996-12-20	https://www.sec.gov/Archives/edgar/data/771790/0000771790-96-000018.txt	10044	STEEL TECHNOLOGIES INC	858147101	STTX.	9	13422	3310	217.141	12.5	11.962
858877	1996	0000950149-96-001640.txt	10-K	CISCO SYSTEMS	1996-10-25	https://www.sec.gov/Archives/edgar/data/858877/0000950149-96-001640.txt	20779	CISCO SYSTEMS INC	17275R102	CSCO	7	13361	3576	3630.232	51.74997711	649.284
906282	1996	0000950116-96-000586.txt	10-K	MICROS TO MAINFRAMES	1996-06-27	https://www.sec.gov/Archives/edgar/data/906282/0000950116-96-000586.txt	29074	MTM TECHNOLOGIES INC	62474G200	MTMC	3	13604	5045	20.428	3.125	4.45
26821	1996	0000950129-96-003156.txt	10-K	DANIEL INDUSTRIES	1996-11-22	https://www.sec.gov/Archives/edgar/data/26821/0000950129-96-003156.txt	3736	DANIEL INDUSTRIES	236235107	DAN.2	9	13422	3823	170.572	12.75	12.137
893160	1996	0000891618-97-001493.txt	10-K405	VENTANA MEDICAL SYSTEMS	1997-03-31	https://www.sec.gov/Archives/edgar/data/893160/0000891618-97-001493.txt	63385	VENTANA MEDICAL SYSTEM INC	92276H106	VMSI	12	13514	2835	32.41	14.5	10.978
22470	1996	0000950152-97-000413.txt	10-K	COMMERCIAL INTERTECH	1997-01-27	https://www.sec.gov/Archives/edgar/data/22470/0000950152-97-000413.txt	3248	COMMERCIAL INTERTECH	201709102	TEC.2	10	13453	3590	337.116	11.125	13.56
101984	1996	0000950152-97-002278.txt	10-K405	UNIVERSAL ELECTRONICS	1997-03-27	https://www.sec.gov/Archives/edgar/data/101984/0000950152-97-002278.txt	27828	UNIVERSAL ELECTRONICS INC	913483103	UEIC	12	13514	3651	59.451	5.5	6.372
28626	1996	0000912057-96-019596.txt	10-K	LIFECORE BIOMEDICAL	1996-09-05	https://www.sec.gov/Archives/edgar/data/28626/0000912057-96-019596.txt	3916	LIFECORE BIOMEDICAL INC	532187101	LCBM	6	13330	3843	64.429	21.25	12.122
864902	1996	0000949459-97-000184.txt	10-K	OMEGA HEALTH SYSTEMS	1997-04-15	https://www.sec.gov/Archives/edgar/data/864902/0000949459-97-000184.txt	22980	VISIONAMERICA INC	92832C104	VSNA	12	13514	8011	27.44	6.625	6.866
18061	1997	0000912057-97-012916.txt	10-K405	CASCADE	1997-04-14	https://www.sec.gov/Archives/edgar/data/18061/0000912057-97-012916.txt	2802	CASCADE CORP	147195101	CASC.	1	13910	3537	349.592	15.68699932	11.861
1002047	1997	0000891618-97-002988.txt	10-K	NETWORK APPLIANCE	1997-07-23	https://www.sec.gov/Archives/edgar/data/1002047/0000891618-97-002988.txt	61591	NETAPP INC	64110D104	NTAP	4	13999	3572	115.736	36.0625	33.648
